learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.867401
1,4,1,0.238,0.877,0.163,0.945709
1,4,2,0.238,0.877,0.163,0.017731
1,4,2,0.238,0.877,0.163,0.118103
1,4,2,0.238,0.877,0.163,0.688385
1,4,3,0.238,0.877,0.163,0.838654
2,8,0,0.201,0.881,0.16,0.764404
2,8,1,0.201,0.881,0.16,0.318085
2,8,2,0.201,0.881,0.16,0.665558
2,8,3,0.201,0.881,0.16,0.839386
2,8,4,0.201,0.881,0.16,0.47998
2,8,5,0.201,0.881,0.16,0.472107
2,8,6,0.201,0.881,0.16,0.82193
2,8,7,0.201,0.881,0.16,0.487274
3,10,0,0.215,0.875,0.15,0.664276
3,10,1,0.215,0.875,0.15,0.78714
3,10,2,0.215,0.875,0.15,0.650482
3,10,3,0.215,0.875,0.15,0.295135
3,10,4,0.215,0.875,0.15,0.406586
3,10,5,0.215,0.875,0.15,0.714447
3,10,6,0.215,0.875,0.15,0.450531
3,10,7,0.215,0.875,0.15,0.040863
3,10,7,0.215,0.875,0.15,0.220795
3,10,7,0.215,0.875,0.15,0.444794
3,10,8,0.215,0.875,0.15,0.92038
3,10,9,0.215,0.875,0.15,0.847473
4,13,0,0.229,0.865,0.154,0.736267
4,13,1,0.229,0.865,0.154,0.340942
4,13,2,0.229,0.865,0.154,0.631073
4,13,3,0.229,0.865,0.154,0.944153
4,13,4,0.229,0.865,0.154,0.962036
4,13,5,0.229,0.865,0.154,0.250885
4,13,6,0.229,0.865,0.154,0.871796
4,13,7,0.229,0.865,0.154,0.37027
4,13,8,0.229,0.865,0.154,0.814087
4,13,9,0.229,0.865,0.154,0.025421
4,13,9,0.229,0.865,0.154,0.192657
4,13,9,0.229,0.865,0.154,0.573334
4,13,10,0.229,0.865,0.154,0.642639
4,13,11,0.229,0.865,0.154,0.47934
4,13,12,0.229,0.865,0.154,0.020233
4,13,12,0.229,0.865,0.154,0.317841
4,13,12,0.229,0.865,0.154,0.913177
5,9,0,0.22,0.871,0.172,0.648499
5,9,1,0.22,0.871,0.172,0.806671
5,9,2,0.22,0.871,0.172,0.052795
5,9,2,0.22,0.871,0.172,0.889618
5,9,3,0.22,0.871,0.172,0.749176
5,9,4,0.22,0.871,0.172,0.743744
5,9,5,0.22,0.871,0.172,0.013153
5,9,5,0.22,0.871,0.172,0.541321
5,9,5,0.22,0.871,0.172,0.963165
5,9,6,0.22,0.871,0.172,0.219238
5,9,6,0.22,0.871,0.172,0.419678
5,9,6,0.22,0.871,0.172,0.193146
5,9,7,0.22,0.871,0.172,0.132324
5,9,7,0.22,0.871,0.172,0.711609
5,9,7,0.22,0.871,0.172,0.016357
5,9,7,0.22,0.871,0.172,0.346741
5,9,8,0.22,0.871,0.172,0.561859
6,19,0,0.22,0.863,0.181,0.039917
6,19,0,0.22,0.863,0.181,0.330292
6,19,0,0.22,0.863,0.181,0.912262
6,19,1,0.22,0.863,0.181,0.25766
6,19,2,0.22,0.863,0.181,0.272125
6,19,3,0.22,0.863,0.181,0.372925
6,19,4,0.22,0.863,0.181,0.334869
6,19,5,0.22,0.863,0.181,0.708435
6,19,6,0.22,0.863,0.181,0.933929
6,19,7,0.22,0.863,0.181,0.619781
6,19,8,0.22,0.863,0.181,0.257202
6,19,9,0.22,0.863,0.181,0.689423
6,19,10,0.22,0.863,0.181,0.731354
6,19,11,0.22,0.863,0.181,0.240875
6,19,12,0.22,0.863,0.181,0.816284
6,19,13,0.22,0.863,0.181,0.85144
6,19,14,0.22,0.863,0.181,0.41275
6,19,15,0.22,0.863,0.181,0.650055
6,19,16,0.22,0.863,0.181,0.62149
6,19,17,0.22,0.863,0.181,0.704376
6,19,18,0.22,0.863,0.181,0.680664
7,8,0,0.209,0.866,0.153,0.464325
7,8,1,0.209,0.866,0.153,0.436432
7,8,2,0.209,0.866,0.153,0.076416
7,8,2,0.209,0.866,0.153,0.034882
7,8,2,0.209,0.866,0.153,0.921356
7,8,3,0.209,0.866,0.153,0.878601
7,8,4,0.209,0.866,0.153,0.554504
7,8,5,0.209,0.866,0.153,0.219421
7,8,6,0.209,0.866,0.153,0.91629
7,8,7,0.209,0.866,0.153,0.543549
8,10,0,0.223,0.887,0.165,0.641602
8,10,1,0.223,0.887,0.165,0.278259
8,10,2,0.223,0.887,0.165,0.686188
8,10,3,0.223,0.887,0.165,0.301239
8,10,4,0.223,0.887,0.165,0.61261
8,10,5,0.223,0.887,0.165,0.737488
8,10,6,0.223,0.887,0.165,0.160095
8,10,6,0.223,0.887,0.165,0.896454
8,10,7,0.223,0.887,0.165,0.91684
8,10,8,0.223,0.887,0.165,0.518951
8,10,9,0.223,0.887,0.165,0.808167
