learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,2,0.201,0.881,0.16,0.053467,0
2,8,3,0.201,0.881,0.16,0.087494,1
3,10,1,0.215,0.875,0.15,0.374481,0
3,10,2,0.215,0.875,0.15,0.311768,1
4,13,2,0.229,0.865,0.154,0.180786,0
4,13,11,0.229,0.865,0.154,0.820374,1
5,9,0,0.22,0.871,0.172,0.317749,0
5,9,2,0.22,0.871,0.172,0.810364,1
6,19,2,0.22,0.863,0.181,0.551697,0
6,19,3,0.22,0.863,0.181,0.304565,1
6,19,5,0.22,0.863,0.181,0.233765,2
6,19,8,0.22,0.863,0.181,0.692108,4
6,19,10,0.22,0.863,0.181,0.813904,8
6,19,12,0.22,0.863,0.181,0.90036,9
6,19,15,0.22,0.863,0.181,0.313873,3
7,8,0,0.209,0.866,0.153,0.98996,0
7,8,3,0.209,0.866,0.153,0.154175,2
7,8,5,0.209,0.866,0.153,0.266602,4
8,10,1,0.223,0.887,0.165,0.558807,0
8,10,9,0.223,0.887,0.165,0.202301,2
9,13,0,0.199,0.871,0.156,0.539825,0
9,13,3,0.199,0.871,0.156,0.769348,2
9,13,4,0.199,0.871,0.156,0.396759,4
10,7,1,0.2,0.876,0.158,0.746155,4
12,19,2,0.221,0.877,0.142,0.554138,4
12,19,6,0.221,0.877,0.142,0.570282,0
13,8,2,0.232,0.87,0.181,0.524628,4
13,8,4,0.232,0.87,0.181,0.236908,0
13,8,5,0.232,0.87,0.181,0.012939,9
13,8,7,0.232,0.87,0.181,0.801605,3
14,7,2,0.219,0.871,0.161,0.385895,4
15,15,5,0.218,0.879,0.17,0.982605,4
15,15,7,0.218,0.879,0.17,0.86438,0
15,15,11,0.218,0.879,0.17,0.688599,9
16,8,1,0.201,0.854,0.167,0.804657,4
16,8,2,0.201,0.854,0.167,0.240814,0
17,16,3,0.22,0.885,0.159,0.435577,4
17,16,6,0.22,0.885,0.159,0.503754,0
17,16,8,0.22,0.885,0.159,0.332977,9
18,10,1,0.213,0.871,0.173,0.077881,4
18,10,5,0.213,0.871,0.173,0.800812,5
18,10,6,0.213,0.871,0.173,0.065369,7
20,16,2,0.203,0.875,0.159,0.056976,7
20,16,7,0.203,0.875,0.159,0.408539,1
20,16,8,0.203,0.875,0.159,0.662079,6
20,16,11,0.203,0.875,0.159,0.059296,4
20,16,12,0.203,0.875,0.159,0.260864,9
21,6,1,0.224,0.868,0.161,0.298645,7
21,6,5,0.224,0.868,0.161,0.756226,1
22,11,0,0.213,0.886,0.179,0.956085,7
22,11,4,0.213,0.886,0.179,0.862396,1
22,11,6,0.213,0.886,0.179,0.711548,6
22,11,7,0.213,0.886,0.179,0.201294,4
22,11,9,0.213,0.886,0.179,0.545929,9
22,11,10,0.213,0.886,0.179,0.028442,3
24,12,4,0.204,0.882,0.181,0.636902,7
24,12,7,0.204,0.882,0.181,0.01709,6
24,12,8,0.204,0.882,0.181,0.148041,1
24,12,11,0.204,0.882,0.181,0.473724,2
25,15,3,0.222,0.878,0.162,0.638397,1
25,15,11,0.222,0.878,0.162,0.390015,7
26,20,4,0.21,0.877,0.164,0.193634,1
26,20,6,0.21,0.877,0.164,0.223755,7
26,20,16,0.21,0.877,0.164,0.763733,2
26,20,17,0.21,0.877,0.164,0.828186,0
27,10,0,0.197,0.884,0.171,0.298584,0
27,10,1,0.197,0.884,0.171,0.136292,4
28,20,2,0.222,0.858,0.156,0.355835,0
28,20,3,0.222,0.858,0.156,0.826141,4
28,20,5,0.222,0.858,0.156,0.016266,2
28,20,9,0.222,0.858,0.156,0.212097,5
28,20,11,0.222,0.858,0.156,0.385254,1
28,20,19,0.222,0.858,0.156,0.64035,7
29,20,1,0.225,0.848,0.187,0.61319,2
